"key","title","year","month","day","journal","issn","volume","issue","pages","authors","url","language","publisher","location","abstract","doi","keywords","pubmed_id","pmc_id","notes"
"rayyan-177334991","Revisiting the relationship between visual functions and reading difficulty: A large sample perspective.",NA,1,1,"","",58,1,"","","","chi","Taiwanese Psychological Assn",NA,"Among the various etiologies of developmental dyslexia, the hypothesis of the defected specific subcortical structure, known as the magnocellular (M) pathway, is still contentious. Its supporting evidence is limited in that some task comparisons, which normally show group differences between dyslexic and normal readers, fail to consider the prevalence rate of dyslexia. Such negligence may have missed some poor visual task performers who have normal reading, and the normal vs. dyslexic-at-risk poor visual performers may be equal ratio or larger in the former, making magnocellular hypothesis much less persuasive. So far, this assertion remains untested. In the current study, large sample were collected from the second and third Taiwan elementary school graders, on reading comprehension (as well as their academic performance on mathematics and language for corroboration) and the two often cited M-related tasks: dot coherence (DC, <i>N</i> = 381) and contrast sensitivity (CS, <i>N</i> = 165). The results disagreed with the previously suggested 1 ~ 2:1 poor-DC/CS with normal or with poor reading ratio, suggesting that the real ratios could be larger (4 ~ 8:1). In addition, significant DC-reading and CS-reading, but insignificant DC-CS, correlations were found, indicative of shared yet distinct reading-related mechanisms that are less likely from a single origin. Among other possible but unfavorable explanations (such as test position variability, light conditions during testing, and the students’ visual acuities), these results concur the relations between visual functions and reading, but unsupportive of the magnocellular hypothesis of dyslexia. Lastly, the current study exemplifies an efficient group testing/screening protocol applicable to developmental dyslexia and other research domains. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","","",NA,NA,""
"rayyan-177334992","The Dyslexia Marker Test for Children: Development and validation of a new test.",NA,1,1,"","",48,1,"","","","eng","Sage Publications",NA,"This article describes the development and psychometric properties of a new Dyslexia Marker Test for Children (Dysmate-C). The test was designed to identify Norwegian students who need special instructional attention. The computerized test includes measures of letter knowledge, phoneme awareness, rapid automatized naming, working memory, decoding, and spelling skills. Data were collected from a sample of more than 1,100 students. Item response theory (IRT) was used for the psychometric evaluation, and principal component analysis for checking uni-dimensionality. IRT was further used to select and remove items, which significantly shortened the test battery without sacrificing reliability or discriminating ability. Cronbach’s alphas ranged between .84 and .95. Validity was established by examining how well the Dysmate-C identified students already diagnosed with dyslexia. Logistic regression and receiver operating characteristic (ROC) curve analyses indicated good to excellent accuracy in separating children with dyslexia from typical children (area under curve [AUC] = .92). The Dysmate-C meets the standards for reliability and validity. The use of regression-based norms, voice-over instructions, easy scoring procedures, accurate timing, and automatic computation of scores make the test a useful tool. It may be used as part of a screening procedure, and as part of a diagnostic assessment. Limitations and practical implications are discussed. (PsycInfo Database Record (c) 2023 APA, all rights reserved)","10.1177/15345084211063533","",NA,NA,""
"rayyan-177350690","The fate of phonemic awareness beyond the elementary school years.",NA,1,1,"","",2,2,"","","","eng","Lawrence Erlbaum",NA,"Three studies investigated the claim that skilled readers possess and display a high degree of phonemic awareness. H. S. Scarborough (1995) conducted a longitudinal study (Study 1) of the development of language and literacy skills in 78 children from ages 2–14 yrs. There was wide variability and unexpectedly low group averages on phoneme-deletion and counting tasks by 64 8th graders with good past and present reading skills, particularly when full segmental analysis was required. Study 2 used scores from 2 phonological- awareness measures for reading disabled and normal 2nd–12th grade readers to test the hypothesis (R. C. Calfee et al, 1973) that phonological sensitivity of good readers might decline during adolescence. Mean performance on phonemic awareness tests reached its higher level by Grade 7 for good readers and somewhat later for other students. Study 3 examined the ways that 46 adults segment words when they are explicitly instructed to consider how the sounds are represented by letters. Performance was as variable on the graphophonemic measure as on the oral metaphonological measures used in Studies 1 and 2. Findings challenge the assumption that adolescents and adults with no history of reading disability should display full phonemic awareness competence. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","10.1207/s1532799xssr0202_2","",NA,NA,""
"rayyan-177350691","Can learning disabilities in children who were extremely low birth weight be identified at school entry?",NA,1,1,"","",13,5,"","","","eng","Lippincott Williams & Wilkins",NA,"Explored whether a significant proportion of 81 extremely low birth weight children identified as at risk for school problems at age 5 yrs by the Florida Kindergarten Screening Battery (FKSB) present with specific learning disability (LD) when retested at age 8 yrs. Measures included the Wechsler Intelligence Scale for Children—Revised (WISC—R), Wide Range Achievement Test—Revised (WRAT—R), and tests of motor function. The association of FKSB risk status and WRAT—R reading subtest for predicting general reading disability in the overall sample at age 8 yrs resulted in a sensitivity of 0.68, specificity of 0.48, and a likelihood ratio of 1.3. Of the 43 'normal' Ss at age 5 yrs with no neurosensory impairments, 49% were at mild to high risk for future LD. The prevalence of specific LD at age 8 yrs in Ss with normal IQ was 28%. The positive predictive value of the 5-yr FKSB for identifying children with specific LD at age 8 yrs was 0.20, sensitivity was 0.33, and specificity was 0.48. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","10.1097/00004703-199210010-00007","",NA,NA,"RAYYAN-INCLUSION: {""rater1""=>""Excluded"", ""rater2""=>""Excluded"", ""rater3""=>""Included""} | RAYYAN-LABELS: bloque 1 | USER-NOTES: {""rater1""=>[""creo que no tiene nada que ver ""]}"
"rayyan-177350692","Eye movement patterns in reading as a function of visual field defects and contrast sensitivity loss.",NA,1,1,"","",32,3,"","","","eng","Masson Italia",NA,"Examined the effect of visual field defects and impairment of visual sensitivity on the 2 parameters critical for accomplishing effective reading: fixation duration and saccadic length. Five patients (aged 23–54 yrs) with various visual field defects were compared to 5 age-matched controls. Eye movements and fixation patterns were recorded as word stimuli were presented to Ss on a computer screen. Analysis of the results revealed that contrast sensitivity impairment and visual field defects affect reading in rather specific ways. Only the patients with a reduction in sensitivity showed a marked increase in fixation duration while the other patients could not be distinguished from the controls. Patients with right visual field defect showed an increase in the number of rightward saccades and a decrease in their amplitude, and patients with left visual field defects showed a pattern more similar to that of the control Ss. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","10.1016/S0010-9452(96)80006-2","",NA,NA,""
"rayyan-177350693","Nachweis der Bereichsspezifität von Grundschulleistungen mittels KFA.",NA,1,1,"","",5,1,"","","","ger","Verlag Hans Huber",NA,"Describes applications of 'Konfigurations-Frequenz-Analyse' (KFA) (configural frequency analysis [CFA]) in studying the domain specificity of early elementary school performance. Results of classical CFA in a study by R. Rabenstein et al (1989) indicate that verbal performance and mathematical performance cannot be differentiated in 1st graders. However, a reanalysis of the data with quasi-independent CFA identifies a type of 1st grader with poor verbal performance but average mathematical performance. This finding provides evidence for a mild dyslexia occurring as early as 1st grade. (English abstract) (PsycINFO Database Record (c) 2018 APA, all rights reserved)","","",NA,NA,""
"rayyan-177350694","Kindergarten phonological awareness and rapid serial naming as predictors of Grade 2 reading and spelling.",NA,1,1,"","",NA,NA,"","","","eng","Kluwer Academic Publishers",NA,"While phonemic awareness and rapid serial naming are both considered forms of phonemic processing, each has been found to account for independent variance in reading, but the underlying processes utilized by rapid serial naming are not clear. These processes have been conceptualized as a form of phonological processing, as speed of processing orthographic units, and as sensitivity to arbitrary associations between phonology and orthography. This study looks at these models longitudinally with 86 children (mean age 92 mo) across grades K-2 using spellings of the <i>-ed</i> suffix in past tense verbs as a measure of orthographic conventions learned while scanning text during reading. Regression analysis results indicated that both phonological awareness and rapid serial in kindergarten made unique contributions to Grade 2 reading and spelling measures. Controlling for early word reading and vocabulary, these contributions were strongest for pseudo word accuracy in the case of phonological awareness, and to spelling of arbitrary orthographic conventions in the case of rapid serial naming, but both kindergarten measures made unique contributions to late word-reading rate. (PsycInfo Database Record (c) 2022 APA, all rights reserved)","10.1007/978-1-4615-1011-6_18","",NA,NA,""
"rayyan-177350695","Sistema automatizado para explorar la lectura en escolares de habla hispana.",NA,1,1,"","",2,1,"","","","spa","Instituto de Neurociencias",NA,"Studied the effectiveness and the validity of a computer video game system designed to assess reading performance in primary school students. The system tests discrimination of letter features during brief visual displays (with and without visual noise), word reading (regular, irregular, and pseudowords), picture naming, and phonological sensitivity to rhyme and alliteration. 120 1st–6th graders (aged 6–11 yrs) in Cuba who were good readers were tested with the system. Statistical analysis demonstrated that all tasks were able to reflect maturational changes, reading skills, and performance variability. The findings suggest that certain features of the system could help to localize cognitive dysfunction in reading disability. It is concluded that the computer video game system is a valid instrument for reading assessment in Spanish-speaking school-age children. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","","",NA,NA,""
"rayyan-177350696","Inferential word-decoding weakness in reading disabled children.",NA,1,1,"","",9,4,"","","","eng","Council for Learning Disabilities",NA,"Compared the word-decoding skills of 24 normally achieving elementary school boys, 21 Ss with attention-deficit disorder (ADD) without hyperactivity or reading disorder (RD), 24 Ss with ADD and hyperactivity but without RD, and 24 Ss with developmental RDs. Ss were required to deduce a test word from 2 phonetically related exemplars, with test words being at each of 3 reading levels above their current reading skills (Wide Range Achievement Test). Analysis of variance (ANOVA) showed significant group, age, and test-word level effects as well as a significant group by level interaction. Results indicate that RD Ss, especially younger ones, exhibited impaired inferential thinking on the word-decoding task. This weakness is theorized to be linked to a lag in the development of phonological sensitivity. Recent work is reviewed that suggests phonological sensitivity can be enhanced by direct instruction, with carry-over benefits to word-recognition skill. (37 ref) (PsycInfo Database Record (c) 2022 APA, all rights reserved)","10.2307/1510385","",NA,NA,""
"rayyan-177350697","Correlations among perceptual-motor ability, self-concept and reading achievement in early elementary grades.",NA,1,1,"","",48,2,"","","","eng","Perceptual & Motor Skills",NA,"Studied the correlations among measures of perceptual-motor abilities, self-concept, and reading achievement and determined whether perceptual-motor ability and self-concept can predict reading achievement in the early elementary grades. 108 female and 105 male 1st–3rd graders were tested on the stabilometer, a modified Minnesota Manual Dexterity Test, a tapping test, the Primary Self-Concept Inventory, and the Science Research Associates Assessment Survey. Intercorrelations across grade levels tended to be low and nonsignificant. Multiple regression procedures yielded no strong predictions of reading achievement. These findings tend to confirm the specificity of perceptual-motor ability, self-concept, and reading achievement. (8 ref) (PsycINFO Database Record (c) 2016 APA, all rights reserved)","10.2466/pms.1979.48.2.447","",NA,NA,"RAYYAN-INCLUSION: {""rater1""=>""Excluded"", ""rater2""=>""Excluded"", ""rater3""=>""Excluded""} | RAYYAN-LABELS: bloque 1 | USER-NOTES: {""rater1""=>[""edad""]}"
"rayyan-177350698","Investigating awareness of and teaching passage organization in learning disabled children.",NA,1,1,"","",17,8,"","","","eng","PRO-ED",NA,"28 normally achieving and 28 learning disabled students in Grades 5–7 were read 1 of 2 organized passages on animals and were subsequently asked to study and recall the passage to investigate Ss' sensitivity to passage organization and its importance in governing ease in learning a passage. Results indicate that normally achieving Ss were more aware of passage organization than learning disabled Ss. However, both groups focused on dimensions such as sentence length, decoding and vocabulary difficulty, and informational load (rather than passage organization) as determinants of task difficulty. Unlike normally achieving Ss, learning disabled Ss had substantial difficulties in reorganizing a disorganized passage. Through subsequent training, learning disabled Ss learned to sort disorganized sentences into coherent clusters around respective subtopics. (9 ref) (PsycInfo Database Record (c) 2022 APA, all rights reserved)","10.1177/002221948401700808","",NA,NA,""
"rayyan-177350699","Phonology, prosody, and reading skills: A mismatch negativity experiment.",NA,1,1,"","",81,11,"","","","eng","ProQuest Information & Learning",NA,"Reading is a fundamental skill for success in everyday life. Unfortunately, 5-20% of all children in the U.S. experience some form of reading difficulty (RD), such as dyslexia. Prosody—i.e., the suprasegmental features of phonology—helps to convey the meaning of speech beyond actual spoken words and has been implicated to facilitate language comprehension. Increasing evidence supports a link between prosodic sensitivity (PS) and reading skills and suggests PS may be predictive of reading outcomes. However, the role of PS in reading comprehension has not been well established. Likewise, research remains sparse on the interactions of the neurocognitive systems underlying the components of prosody and reading. Furthermore, the majority of studies that have examined prosodic sensitivity primarily focused on the rhythmic or metrical aspects, while intonation is not always accounted for.As such, the current dissertation research addresses this specific gap in the literature by focusing specifically on the intonation aspect of prosody and how it relates to reading comprehension skills in adult readers, after controlling for phoneme perception and vocabulary. To this end, the mismatch negativity (MMN) was recorded using the audio-morphing paradigm developed by Sammler and colleagues (2015) to measure neural sensitivity to auditory cues of phonemic or prosodic contrasts. Participants were also administered standardized behavioral measures of vocabulary knowledge and silent reading comprehension skills. Results showed that the intonation aspect of prosody statistically significantly relates to reading; however, the behavioral-EEG relationship was less clear, as there still are quite a few ways to examine the data before a behavioral-EEG relationship can be ruled out with any certainty. Findings of this study have potentially important implications for early identification and possible intervention for students at risk for RD. Most early reading interventions focus on the segmental aspects of phonology, while few programs specifically address this suprasegmental aspect. As such, these study findings fill this gap and contribute to a better understanding of what role these particular segmental and suprasegmental features of phonology play in reading and provide merit for subsequent EEG studies to further examine the relationship between the prosodic feature of intonation and reading. (PsycInfo Database Record (c) 2022 APA, all rights reserved)","","",NA,NA,""
"rayyan-177350700","Beyond correlational analysis of the Dynamic Indicators of Basic Early Literacy Skills (DIBELS): A classification validity study.",NA,1,1,"","",23,4,"","","","eng","Educational Publishing Foundation",NA,"This study investigated the classification validity of the Dynamic Indicators of Basic Early Literacy Skills (DIBELS) using a sample of kindergarteners (N = 177). Results indicated the cutoff scores for determining <i>at-risk</i> status on the DIBELS produced substantial false negative rates. Cutoff scores identifying students as at some risk produced substantial false positive rates. At both levels of risk status, the DIBELS showed low positive predictive power, but high negative predictive power, indicating it was far better at identifying students with adequate reading skills than those with inadequate reading skills. Recommendations for appropriate use of the DIBELS for reading screening and suggestions for future research are provided. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","10.1037/a0013245","",NA,NA,"RAYYAN-INCLUSION: {""rater1""=>""Included"", ""rater2""=>""Excluded"", ""rater3""=>""Included""} | RAYYAN-LABELS: bloque 1"
"rayyan-177350701","¿Qué variables determinan el nivel lector de un alumno en el segundo ciclo de Educación Primaria y cuál es su valor diagnóstico?",NA,1,1,"","",37,1,"","","","spa","Asociación Iberoamericana de Diagnóstico y Evaluación Psicológíca",NA,"The teacher’s role in the identification of difficulties in learning to read is essential for early detection. This study aimed to: determine the factors that distinguish between readers who have a high and low level of reading ability in the second cycle of elementary school according to the criterion of teachers, and find the diagnostic value of these variables. The BEL test was administered to 275 children. Results from logistic regression analysis revealed that performance on literal questions about text, concordance, orthography and pseudo-word reading tasks contributed significantly to discriminate between good and poor readers. Analyses based on ROC curves linked the best diagnostic properties to performance on concordance and orthography subtests and on literal responses to questions about texts. This research shows a high agreement among the factors that teachers considered relevant for reading skills and variables identified as critical in psycholinguistic studies on the development of reading ability. (PsycInfo Database Record (c) 2024 APA, all rights reserved)","","",NA,NA,""
"rayyan-177350702","Specificity and characteristics of learning disabilities.",NA,1,1,"","",46,10,"","","","eng","Blackwell Publishing",NA,"Background: The specificity of impairments in specific reading disabilities (SRD) and specific language impairments (SLI) has recently been questioned, with many children recruited for studies of SRD and SLI demonstrating impairments in both reading and oral language development. This has implications for the results of SRD and SLI studies where both reading and oral language skills are not assessed. Thus there is a need to compare the profiles of children with both oral language and reading impairments to groups of children with SRD and SLI. Methods: The reading, oral language, short-term auditory memory, phonological processing, spelling, and maths abilities of 151 children (aged between 7 and 12 years) drawn from a Learning Disabilities Clinic were assessed. Results: Five groups were identified, including children who demonstrated either a specific reading disability or a specific language impairment and children who showed evidence of both reading and oral language impairments. Differences were found between the groups on maths, phonological processing, short-term auditory memory, and spelling measures, with the children displaying both language and reading deficits generally performing at a lower level than the children with specific reading or language deficits. Conclusions: It was concluded that more careful screening needs to be conducted in both clinical and research settings to accurately identify the nature of deficits in children with reading and oral language difficulties. Furthermore, a third and separate category of children with a mixed pattern of impairments needs to be considered. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","10.1111/j.1469-7610.2004.00394.x","",NA,NA,""
"rayyan-177350703","Sensibilité à la similarité phonétique chez les enfants dyslexiques et les bons lecteurs.",NA,1,1,"","",86,2,"","","","fre","Presses Universitaires de France",NA,"Compared the performance of dyslexic and good readers on tasks involving immediate memory. Human subjects: 45 French children and adolescents (8–13 yrs) (dyslexia). 45 normal French children and adolescents (8–23 yrs). The Ss' performance was compared at an equivalent chronological age (CA) in Exp I and an equivalent reading age in Exp II. (English abstract) (PsycInfo Database Record (c) 2022 APA, all rights reserved)","10.3406/psy.1986.29140","",NA,NA,""
"rayyan-177350704","Validity of teacher report for assessing the emergent literacy skills of at-risk preschoolers.",NA,1,1,"","",40,2,"","","","eng","American Speech-Language-Hearing Assn",NA,"Purpose: The purpose of this study was to determine the predictive validity of teacher report for assessing the emergent literacy skills of preschool-age children. The aims were twofold: (a) to examine predictive relationships between teacher report and direct behavioral assessment, and (b) to examine the extent to which teacher report accurately differentiates children who are exhibiting low levels of emergent literacy skills relative to their peers. Method: Forty-four preschool teachers completed a rating form reporting the print-related emergent literacy skills of 209 children who were enrolled in their classrooms. Approximately 2 months later, the children completed direct assessments of these skills. Results: Correlations between teacher report and children's performance on direct behavioral assessments were positive, moderate to large in size, and statistically significant. In terms of classifying children into groupings based on risk (e.g., at risk, low risk), global teacher ratings demonstrated a sensitivity of 51.9% and a specificity of 87.9%. Clinical Implications: The present results indicate that teacher report provides a somewhat valid representation of children's skills. However, the diagnostic accuracy of teacher report for identifying children who are at risk is generally low. With this limitation in mind, teacher report can provide an important complement to current assessment approaches that are used in preschool settings. (PsycInfo Database Record (c) 2022 APA, all rights reserved)","10.1044/0161-1461(2009/07-0099)","",NA,NA,""
"rayyan-177350706","Development of an assessment rubric for the implementation of response to intervention (RTI) at elementary schools.",NA,1,1,"","",70,11,"","","","eng","ProQuest Information & Learning",NA,"Response to Intervention (RTI) is a relatively new approach to identifying students with learning disabilities that has impacted how schools coordinate resources and implement their instructional support and assessment systems. Because RTI is a federal initiative and relatively new approach, there is little consensus on specific approaches and practices to guide school in implementation. This approach has potentially great consequences in providing supports in a more efficient manner for at-risk students as well as improving outcomes for all students. However, to meet this goal, schools need a tool to help guide and evaluate their practices to ensure quality implementation. In this dissertation, I describe the development of a rubric designed to meet this need. This <i>RTI Assessment Rubric</i> is intended to be a tool that practitioners and researchers can use to evaluate the implementation of RTI at the elementary school level. Using qualitative methodologies, the rubric was developed based upon a review of the literature and validated by known experts in the field in terms of its breadth and depth of content. Through this process six components were identified which include evaluating: Tier 1 instruction, universal screening procedures, Tier 2 and Tier 3 interventions, progress monitoring practices, evidence-based decision-making, and organizational supports. Next, case studies were created on 5 second grade students who are at risk for reading disabilities in two elementary schools implementing RTI practices. These case studies included classroom observations, interviews with teachers/administrators, record reviews, as well as evaluating student response to school implemented interventions. When these case studies were examined by external reviewers using the RTI rubric, the device demonstrated initial evidence of inter-rater reliability and sensitivity in discriminating between the quality of RTI implementation in these two schools. Teachers reported that the rubric captured the RTI experience within their building. This rubric appears to be useful for both researchers and practitioners as they begin implementation of RTI in schools because it appears to provide relevant, practical, and useful information to guide schools' next steps in RTI implementation. (PsycInfo Database Record (c) 2022 APA, all rights reserved)","","",NA,NA,"RAYYAN-INCLUSION: {""rater1""=>""Excluded"", ""rater2""=>""Excluded"", ""rater3""=>""Excluded""} | RAYYAN-LABELS: bloque 1 | USER-NOTES: {""rater1""=>[""creo que no se ciñe al objetivo nuestro de estudio ""]}"
"rayyan-177350707","Scotopic sensitivity/Irlen syndrome and the use of coloured filters: A long-term placebo controlled and masked study of reading achievement and perception of ability.",NA,1,1,"","",89,1,"","","","eng","Perceptual & Motor Skills",NA,"Investigated the effects of the use of colored filters on reading speed, accuracy, and comprehension, and on perception of academic ability. In the longitudinal study 88 children (aged 9.2–13.1 yrs) with moderate to high reading difficulties as assessed by scores on the Scotopic Sensitivity Syndrome Screening Manual (H. Irlen, 1991) used placebo filters, blue filters, or diagnosed filters; 28 age-matched controls used no filters. Results show that all 3 treatment groups increased at a significantly greater rate than controls in reading accuracy and reading comprehension, but not for reading speed. Two treatment groups self-reported significantly greater increases in perception of academic ability than did controls. 18–20 mo after study commencement, 74 of 88 Ss reported benefit and consistent use of colored filters. The larger improvements for treatment groups in reading comprehension may be related to a reduction in print and background distortions, thereby allowing attention to be directed to the processing of continuous text rather than to the identification of individual words. A reduction in print distortion may not be sufficient to generate improved word-identification skills without additional remedial support. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","10.2466/PMS.89.5.83-113","",NA,NA,""
"rayyan-177350708","Auditory processing and early literacy skills in a preschool and kindergarten population.",NA,1,1,"","",43,4,"","","","eng","Sage Publications",NA,"Although the relationship between auditory processing and reading-related skills has been investigated in school-age populations and in prospective studies of infants, understanding of the relationship between these variables in the period immediately preceding formal reading instruction is sparse. In this cross-sectional study, auditory processing, phonological awareness, early literacy skills, and general ability were assessed in a mixed sample of 88 three- to six-year-old children both cross-sectionally and longitudinally. Results from both cross-sectional and longitudinal analyses suggest the importance of early auditory rise time sensitivity in developing phonological awareness skills, especially in the development of rhyme awareness. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","10.1177/0022219410369071","",NA,NA,"RAYYAN-INCLUSION: {""rater1""=>""Included"", ""rater2""=>""Excluded"", ""rater3""=>""Included""} | RAYYAN-LABELS: bloque 1"
"rayyan-177350709","A trial of piracetam in two subgroups of students with dyslexia enrolled in summer tutoring.",NA,1,1,"","",24,9,"","","","eng","PRO-ED",NA,"60 children with dyslexia (aged 9–13 yrs) were enrolled in a 10-wk summer tutoring program that emphasized word-building skills. They were randomly assigned to receive placebo or piracetam, a purportedly memory-enhancing drug that has been reported to facilitate reading skill acquisition. Ss were subtyped as 'dysphonetic' or 'phonetic' on the basis of scores from tests of phonological sensitivity and phoneme-grapheme correspondence skills. Of the 53 children who completed the program, 37 were classified as dysphonetic and 16 as phonetic. The phonetic group improved significantly more in word-recognition ability than the dysphonetic group. Overall, Ss on medication did not improve more than nonmedicated ones in any aspect of reading. (PsycInfo Database Record (c) 2022 APA, all rights reserved)","10.1177/002221949102400906","",NA,NA,"RAYYAN-INCLUSION: {""rater1""=>""Excluded"", ""rater2""=>""Excluded"", ""rater3""=>""Excluded""} | RAYYAN-LABELS: bloque 1 | USER-NOTES: {""rater1""=>[""edad""]}"
"rayyan-177350710","Early identification of students at risk for reading failure using individual growth in prereading skills. (disabilities).",NA,1,1,"","",60,5,"","","","eng","ProQuest Information & Learning",NA,"By 1992 a body of research had been published arguing that most states' definitions for determining eligibility for special education services suffer from invalidity (Fletcher & Foorman, 1992; Frankenberger & Fronzaglio, 1991; Pennington, Gilger, Olson & DeFries, 1992; Reynolds, 1985). Problems with current uses of discrepancy definitions in the identification of students with disabilities include the lack of a theoretical base supporting the definitions, clarity in the definitions, specificity in the measurement of student skills, and empirical evidence supporting the validity of discrepancy definitions. Problems with traditional practices not only impact poor readers who meet current eligibility criteria but also poor readers who do not meet discrepancy criteria. Special education assistance is not currently provided for students who perform poorly in reading but who do not meet discrepancy definitions even though researchers have demonstrated that poor readers who do and do not meet discrepancy definitions perform similarly in reading and prereading skills and empirical evidence has not supported the differential treatment of the two groups (Fletcher, Francis, Rourke, Shaywitz, & Shaywitz, 1992; Pennington, Gilger, Olson & DeFries, 1992; Reynolds, 1985). Since problems exist with current special education eligibility practices, the need for better methods exists. The present research sought to examine one method for the early identification of students at risk of reading failure using growth in prereading and reading skills. The four goals of the present research included examining the validity of discrepancy definitions from a developmental perspective, discriminating reader groups using growth in prereading skills, predicting students at risk of reading failure, and identifying subgroups of poor readers. Results from the analyses provided further support for the invalidity of discrepancy definitions. Poor readers with and without discrepancies demonstrated similar growth in prereading and reading skills over kindergarten and first grade and the discrimination between the two groups of poor readers was not possible. Growth in prereading and reading skills did not discriminate the two groups of poor readers, but did sufficiently discriminate both groups of poor readers from their nonimpaired peers. Prediction of readers at risk of reading failure proved possible when reading failure was defined as low achieving and discrepant. However, prediction was better when reading failure was defined by only low achieving criteria. These results further questioned the use of IQ discrepancy criteria in the definitions of poor readers. Subgroups of readers based on developmental growth patterns were identified. Identification of reader subgroups implied the need for interventions specifically designed to address the unique needs of the subgroups. The ability to predict at risk readers from growth in prereading and reading skills and to identify subgroups of poor readers suggested that early identification is not only possible but identification of subtypes of readers can provide specific information about students' reading needs. Educational implications for the early identification of students at risk of reading failure were discussed. This research demonstrated that growth in prereading and reading skills provides one method for the early identification of students at risk of reading failure. Combining early identification with early interventions may help educators teach all students to read and prevent students from reading failure. (PsycInfo Database Record (c) 2022 APA, all rights reserved)","","",NA,NA,""
"rayyan-177350711","Poor reading: A deficit in skill-automatization or a phonological deficit?",NA,1,1,"","",2,4,"","","","eng","Lawrence Erlbaum",NA,"Examined whether the characteristic reading speed impairment of German dyslexic children results from a general skill-automatization deficit sensu R. I. Nicolson and A. J. Fawcett (1990) or from more specific deficits in visual naming speed and phonological skills. The hypothesized skill-automatization deficit was assessed by balancing, peg moving, and visual search. Rapid 'automatized'naming tasks served as measures of impaired visual naming speed, and the phonological deficit was assessed by speech perception, phonological sensitivity, and phonological memory tasks. 20 dyslexic German children and 27 age-matched controls were tested at the end of Grade 2 and as participants of a longitudinal study also at the beginning of Grade 1. No evidence for a skill-automatization deficit was found, as the dyslexic children did not differ at all on the balancing tasks and little on the other nonverbal skill tasks. However, the dyslexic children showed impaired visual naming speed and impaired phonological memory performance that were observed not only in Grade 2 but also before learning to read. Findings support the conclusion that, even in regular orthographies, difficulties in learning to read are due to a phonological rather than a general skill-automatization deficit. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","10.1207/s1532799xssr0204_2","",NA,NA,""
"rayyan-177350712","Auditory temporal processing in developmental dyslexics.",NA,1,1,"","",16,3,"","","","eng","Psychological Society of Ireland/Cumann Siceolaithe Eireann",NA,"Investigated the ability of adults with dyslexia, screened for normal hearing sensitivity, to perform a nonspeech auditory task. The test (FM rate difference limen) was designed to be analogous to visual motion sensitivity at which Ss with dyslexia are worse than controls. 12 adult Ss with dyslexia were matched for age, IQ and occupational status with 12 control Ss and were administered timed real word and nonword reading tests to assess level of reading difficulty. Ss with dyslexia made more errors than the controls and also took longer to complete the lists. No significant differences were found between groups in hearing 1 KHz pure tones; however, Ss with dyslexia were significantly worse at detecting changes in the rate of modulation of frequency modulated tones and their FM depth difference limen was also worse. Results support the hypothesis that persons with dyslexia have impaired development of neuronal systems responsible for processing the timing of auditory frequency changes. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","10.1080/03033910.1995.10558058","",NA,NA,"RAYYAN-INCLUSION: {""rater1""=>""Excluded"", ""rater2""=>""Excluded"", ""rater3""=>""Excluded""} | RAYYAN-LABELS: bloque 1 | USER-NOTES: {""rater1""=>[""adultos no gracias""]}"
"rayyan-177350713","Vizuálno-percepčné t'ažkosti detí s problémami v čítaní.",NA,1,1,"","",29,3,"","","","slo","Vyskumny Ustav Detskij Psychologie a Patopsychologie",NA,"Conducted pilot research on scotopic sensitivity. 64 dyslexic 4th-graders (aged 9 yrs 9 mo to 11 yrs 2 mo). Ss were screened for scotopic sensitivity with H. Irlen's (1991) method. Ss with a high level of scotopic sensitivity were given a comprehensive ophthalmologic examination. Ss with low/high sensitivity were compared on 3 tasks: transposition of letters, reading aloud, and reading silently. The degree of improvement in text perception and reading speed obtained with colored lenses was assessed. The Reading Test (Z. Matějček et al, 1987), the Progressive Matrices, and the Wechsler Intelligence Scale for Children (WISC) were used. (English & German abstracts) (PsycINFO Database Record (c) 2016 APA, all rights reserved)","","",NA,NA,""
